SEC2000.2021.02.02SDTEZ
TimeStamp,gYawDev25s,gYawTwistPosition,gNacVibrationX,gNacVibrationY,gVibEffectiveValue,gRotSpeed1,gRotSpeed2,gRotSpeedSSI,gActualGenSpd,gConvTorqueActualVal,gWindSpeed10s,gWindSpeed1,gWindSpeed2,gWindDirection1Avg25s,gWindDirection2Avg25s,gPitSysTagPosSet,gPitchPosition,gHydSysPressure,gSCACosPhiSet,gScadaPowReduct,gBrakeCode,gYawCode,gMainLoopNumber,ManuControl,buf_safety_1,buf_safety_2,gCscDataIn.StateWord,gConvTorqueSetVal,buf_Conv_control,buf_gTBDI937101,buf_gTBDI937102,buf_gTBDO932201,buf_gTBDO932202,buf_gNacDI937101,buf_gNacDI937102,buf_gNacDI937103,buf_gNacDI937104,buf_gNacDI937105,buf_gNacDI937106,buf_gNacDI937107,buf_gNacDO932201,buf_gNacDO932202,buf_gNacDO932203,buf_gNacDO932204,gTmpCabTb,gTmpTb,gTmpTf,gTmpCabNac,gTmpNac,gTmpNacOutdoor,gYawSpeed,gTmpGbxLow,gTmpGbxInletOil,gTmpGbxOil,gTmpGbxWater,gTmpGenWinding,gTmpGenCoolWater,gTmpGenWindingU1,gTmpGenWindingV1,gTmpGenWindingW1,gTmpGenBearingF,gTmpGenBearingR,gTmpGenRing,gTmpGenInletAir,gTmpGenOutletAir,gGridU1,gGridU2,gGridU3,gGridIL1,gGridIL2,gGridIL3,gGridFreq,gGridP,gGridQ,gGridCosPhi,gPitPosEnc1[0],gPitPosEnc1[1],gPitPosEnc1[2],gPitPosEnc2[0],gPitPosEnc2[1],gPitPosEnc2[2],gPitDrvCurrentInv[0],gPitDrvCurrentInv[1],gPitDrvCurrentInv[2],gPitAxisBattVolt[0],gPitAxisBattVolt[1],gPitAxisBattVolt[2],gBufPitchStatus_1,gBufPitchStatus_2,gBufPitchStatus_3,gBufPitchStatus_4,gBufPitchStatus_5,gBufPitchStatus_6,gBufPitchStatus_7,gBufPitchStatus_8,BufferType,gRegion,,,,
2022_4_8_19:35:57:920,1.55935,395.812,0.0052324,0.0168172,0.00298551,14.1855,14.1855,14.2856,1783.6,98.545,9.53042,10.925,10.925,1.55935,1.55935,0.766276,0.883667,154.631,0,1,0,0,8,0,255,255,877.4,98.473,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.9,1.06165e-15,75.82,61.8,68.1,61,97.52,36.47,97.52,97.2,96.47,58.38,52.84,45.86,0,0,418.4,416.9,413.5,1598.8,1628.9,1643.6,50.024,2025.9,43.8,0.3991,0.889,0.885,0.877,1.099,0.991,0.911,17.69,21.41,13.04,310,328.29,306.56,18498,32793,33817,32793,8.2,8.1,8.2,5913,0,2.7,0,0,0,
2022_4_8_19:35:58:920,2.7927,395.812,0.00534074,0.016831,0.00271257,14.3174,14.3174,14.3283,1784.67,93.796,9.71612,9.33561,9.33561,2.7927,2.7927,0.353112,0.264667,154.608,0,1,0,0,8,0,255,255,775,93.6423,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,33,3276.7,36.7,36.7,27.9,1.06165e-15,75.82,61.8,68.1,61,97.52,36.42,97.52,97.15,96.49,58.4,52.84,45.9,0,0,418.4,416.6,413.2,1525.6,1552.5,1568.1,50.064,1964.2,51.3,0.3989,0.267,0.261,0.266,0.478,0.327,0.268,14.79,8.91,7.36,310,328.3,306.59,18498,32793,33817,32793,8,8.3,8.4,5913,0,2,0,0,0,
2022_4_8_19:35:59:920,4.43697,395.812,0.00509354,0.0152135,0.0036653,14.2969,14.2969,14.3097,1791.5,93.171,9.7145,10.8066,10.8066,4.43697,4.43697,0.217171,0.172,154.607,0,1,0,0,8,0,255,255,570.2,93.5674,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.9,1.06165e-15,75.81,61.8,68.1,61,97.53,36.4,97.53,97.18,96.47,58.4,52.86,45.88,0,0,417.7,416.5,413.2,1518.5,1549.5,1564.6,50.03,1915.2,50.9,0.7984,0.167,0.172,0.177,0.382,0.235,0.169,13.55,8.25,15.78,310,328.3,306.5,18498,32793,33817,32793,8,8.2,8.2,5913,0,2,0,0,0,
2022_4_8_19:36:0:920,6.17259,395.812,0.00515458,0.0121418,0.00608047,14.4375,14.4375,14.548,1797.83,94.906,10.334,10.8785,10.8785,6.17259,6.17259,1.36189,1.30733,154.6,0,1,0,0,8,0,255,255,775,95.0641,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.9,1.06165e-15,75.82,61.8,68.1,61,97.52,36.4,97.52,97.19,96.53,58.4,52.83,45.85,0,0,417.7,416.9,413.9,1552.7,1584.7,1600.4,50.001,1948.9,45.6,-0.000100046,1.305,1.312,1.305,1.468,1.415,1.317,4.87,8.21,10.2,310,328.29,306.5,18498,32793,33817,32793,8.2,8.2,8.1,5913,0,2,0,0,0,
2022_4_8_19:36:1:920,7.13018,395.812,0.00507828,0.0114414,0.00669549,14.3467,14.3467,14.5048,1807.83,98.948,10.5233,11.1924,11.1924,7.13018,7.13018,1.32483,1.442,154.599,0,1,0,0,8,0,255,255,877.4,99.079,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.85,1.06165e-15,75.82,61.8,68.1,61,97.5,36.4,97.5,97.17,96.48,58.4,52.85,45.85,0,0,419.8,416.3,412.8,1633.2,1654.8,1669.7,50.112,2030.4,62.3,0.5985,1.442,1.445,1.439,1.62,1.551,1.492,15.95,20.21,12,310.01,328.3,306.55,18498,32793,33817,32793,8.3,8.1,8,5913,0,2.9,0,0,0,
2022_4_8_19:36:2:920,7.91627,395.812,0.00488907,0.0124271,0.00505336,14.5166,14.5166,14.5208,1814.39,98.492,10.9602,11.8079,11.8079,7.91627,7.91627,0.967297,0.804,154.593,0,1,0,0,8,0,255,255,979.8,98.641,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.88,1.06165e-15,75.85,61.8,68.1,61,97.52,36.4,97.52,97.24,96.5,58.4,52.83,45.84,0,0,418.2,417,413.6,1626.6,1658.3,1674.1,49.983,2065.1,54.1,0.3992,0.81,0.797,0.805,1.008,0.893,0.828,16.09,10.88,5.96,310,328.3,306.51,18498,32793,33817,32793,8.2,8.2,8.1,5913,0,3,0,0,0,
2022_4_8_19:36:3:920,7.80115,395.812,0.00546281,0.0126743,0.00428424,14.5488,14.5488,14.5663,1824.43,99.123,11.1432,11.1278,11.1278,7.80115,7.80115,1.27081,1.33933,154.614,0,1,0,0,8,0,255,255,877.4,99.2549,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,33,3276.7,36.7,36.7,27.83,1.06165e-15,75.83,61.8,68.1,61,97.53,36.4,97.53,97.23,96.49,58.44,52.83,45.88,0,0,419,416.5,413.3,1648.1,1674.7,1690.1,50.047,2073.7,78.5,0.7981,1.333,1.341,1.344,1.517,1.471,1.379,17.76,9.66,17.47,309.99,328.3,306.52,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:36:4:920,7.19993,395.812,0.00507828,0.0109378,0.00530489,14.7305,14.7305,14.8057,1837.03,99.415,11.0821,10.5367,10.5367,7.19993,7.19993,2.60067,2.432,154.639,0,1,0,0,8,0,255,255,672.6,99.4529,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.8,1.06165e-15,75.85,61.8,68.1,61,97.54,36.4,97.54,97.17,96.48,58.42,52.83,45.88,0,0,418.9,416.7,413.7,1667.2,1694.8,1711.1,50.05,2096.3,55.6,0.7977,2.427,2.441,2.428,2.564,2.477,2.406,2.68,5.28,7.57,309.93,328.3,306.5,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:36:5:920,5.65639,395.812,0.00487075,0.00952025,0.00615998,14.6836,14.6836,14.8348,1847.59,100.07,10.5565,9.39771,9.39771,5.65639,5.65639,3.48875,3.55933,154.624,0,1,0,0,8,0,255,255,672.6,99.9529,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.8,1.06165e-15,75.84,61.8,68.1,61,97.53,36.4,97.53,97.19,96.54,58.43,52.87,45.79,0,0,419,416.6,413.6,1683.2,1709.9,1725.6,50.037,2121.8,85.9,0.5985,3.563,3.559,3.556,3.677,3.544,3.521,12.01,17.66,10.33,309.94,328.3,306.5,18498,32793,33817,32793,8.2,8.3,8,5913,0,3,0,0,0,
2022_4_8_19:36:6:920,3.37902,395.812,0.00599384,0.00893277,0.00646105,14.8096,14.8096,14.8219,1852.18,99.107,10.1571,9.6649,9.6649,3.37902,3.37902,3.65686,3.46033,154.646,0,1,0,0,8,0,255,255,570.2,98.953,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,36.7,36.7,27.8,1.06165e-15,75.86,61.8,68.1,61,97.55,36.4,97.55,97.25,96.54,58.4,52.83,45.98,0,0,418,417.1,414,1668.8,1700.8,1715.5,49.966,2117.7,69,0.5988,3.46,3.465,3.456,3.565,3.452,3.42,12.82,6.79,2.89,309.95,328.3,306.53,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
