SEC2000.2021.02.02SDTEZ
TimeStamp,gYawDev25s,gYawTwistPosition,gNacVibrationX,gNacVibrationY,gVibEffectiveValue,gRotSpeed1,gRotSpeed2,gRotSpeedSSI,gActualGenSpd,gConvTorqueActualVal,gWindSpeed10s,gWindSpeed1,gWindSpeed2,gWindDirection1Avg25s,gWindDirection2Avg25s,gPitSysTagPosSet,gPitchPosition,gHydSysPressure,gSCACosPhiSet,gScadaPowReduct,gBrakeCode,gYawCode,gMainLoopNumber,ManuControl,buf_safety_1,buf_safety_2,gCscDataIn.StateWord,gConvTorqueSetVal,buf_Conv_control,buf_gTBDI937101,buf_gTBDI937102,buf_gTBDO932201,buf_gTBDO932202,buf_gNacDI937101,buf_gNacDI937102,buf_gNacDI937103,buf_gNacDI937104,buf_gNacDI937105,buf_gNacDI937106,buf_gNacDI937107,buf_gNacDO932201,buf_gNacDO932202,buf_gNacDO932203,buf_gNacDO932204,gTmpCabTb,gTmpTb,gTmpTf,gTmpCabNac,gTmpNac,gTmpNacOutdoor,gYawSpeed,gTmpGbxLow,gTmpGbxInletOil,gTmpGbxOil,gTmpGbxWater,gTmpGenWinding,gTmpGenCoolWater,gTmpGenWindingU1,gTmpGenWindingV1,gTmpGenWindingW1,gTmpGenBearingF,gTmpGenBearingR,gTmpGenRing,gTmpGenInletAir,gTmpGenOutletAir,gGridU1,gGridU2,gGridU3,gGridIL1,gGridIL2,gGridIL3,gGridFreq,gGridP,gGridQ,gGridCosPhi,gPitPosEnc1[0],gPitPosEnc1[1],gPitPosEnc1[2],gPitPosEnc2[0],gPitPosEnc2[1],gPitPosEnc2[2],gPitDrvCurrentInv[0],gPitDrvCurrentInv[1],gPitDrvCurrentInv[2],gPitAxisBattVolt[0],gPitAxisBattVolt[1],gPitAxisBattVolt[2],gBufPitchStatus_1,gBufPitchStatus_2,gBufPitchStatus_3,gBufPitchStatus_4,gBufPitchStatus_5,gBufPitchStatus_6,gBufPitchStatus_7,gBufPitchStatus_8,BufferType,gRegion,,,,
2022_4_8_19:42:6:920,-2.74179,395.812,0.0031373,0.0216987,0.000751251,14.3848,14.3848,14.3994,1788.9,99.095,9.21249,8.41349,8.41349,-2.74179,-2.74179,5.89799,5.87433,154.462,0,1,0,0,8,0,255,255,877.4,99.2013,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.68,61.5,98.3,36.6,98.3,97.97,97.25,58.93,53.49,46.1,0,0,419.3,416.5,412.8,1619.7,1646.8,1661.4,50.096,2037.3,44.9,0.3987,5.874,5.873,5.876,5.962,5.873,5.894,13.63,7.64,7.09,308.53,328.91,306.2,18498,32793,33817,32793,8.1,8.1,8.1,5913,0,3,0,0,0,
2022_4_8_19:42:7:920,-2.14904,395.812,0.0033723,0.0247185,0.0029666,14.3379,14.3379,14.3431,1793.33,99.355,9.08122,9.33683,9.33683,-2.14904,-2.14904,5.16068,5.07867,154.454,0,1,0,0,8,0,255,255,570.2,99.2145,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,33,3276.7,36.99,37,28.01,1.06165e-15,76.2,62.2,68.7,61.49,98.26,36.6,98.26,97.96,97.24,58.98,53.44,46.13,0,0,418.7,416.5,413.2,1623.2,1652.7,1667.2,49.96,2043.9,61.9,0.7983,5.077,5.077,5.082,5.186,5.076,5.085,11.25,8.01,14.71,308.5,328.9,306.12,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:42:8:920,-1.77041,395.812,0.00327769,0.0251472,0.00370305,14.4375,14.4375,14.5948,1806.52,99.457,9.28442,9.91409,9.91409,-1.77041,-1.77041,6.33489,6.31567,154.439,0,1,0,0,8,0,255,255,672.6,99.4872,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.93,97.24,58.98,53.47,46.1,0,0,418.4,416.6,413.1,1638,1670,1685.3,49.995,2065,40.1,-0.000200003,6.315,6.321,6.311,6.421,6.309,6.299,7.11,11.17,8.16,308.5,328.91,306.17,18498,32793,33817,32793,8.1,8.1,8,5913,0,3,0,0,0,
2022_4_8_19:42:9:920,-0.51043,395.812,0.00312052,0.0249779,0.00316137,14.3994,14.3994,14.4886,1809.5,99.332,10.0653,11.845,11.845,-0.51043,-0.51043,5.92547,6.028,154.469,0,1,0,0,8,0,255,255,775,99.5009,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.97,97.25,58.95,53.51,46.12,0,0,418.7,416.7,413.2,1637.7,1667.4,1681.8,49.989,2074.3,63.1,0.7981,6.031,6.027,6.026,6.134,6.015,6.048,13.2,16.22,10.62,308.5,328.9,306.2,18498,32793,33817,32793,8.3,8.4,8.1,5913,0,3,0,0,0,
2022_4_8_19:42:10:920,0.499306,395.812,0.00295267,0.0247261,0.00259431,14.5547,14.5547,14.5603,1814.73,99.393,10.2169,9.43907,9.43907,0.499306,0.499306,5.96808,5.85533,154.408,0,1,0,0,8,0,255,255,979.8,99.4794,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.29,36.6,98.29,97.91,97.26,58.96,53.46,46.13,0,0,419.1,416.7,413.1,1646.3,1674.2,1689.6,49.973,2074.5,49.3,0.3988,5.858,5.851,5.857,5.945,5.847,5.877,14.19,6.94,5.61,308.5,328.9,306.14,18498,32793,33817,32793,8.3,8.2,8.3,5913,0,3,0,0,0,
2022_4_8_19:42:11:920,-0.986147,395.812,0.00248421,0.0213126,0.0016856,14.5459,14.5459,14.5563,1823.19,99.377,10.0107,10.4086,10.4086,-0.986147,-0.986147,5.94093,5.89933,154.439,0,1,0,0,8,0,255,255,877.4,99.446,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.25,36.6,98.25,97.96,97.27,58.97,53.48,46.14,0,0,419,416.6,413.6,1651.4,1681,1695.9,49.956,2084.2,70.4,0.3988,5.897,5.902,5.899,5.985,5.907,5.907,12.33,7.7,14.25,308.5,328.9,306.15,18498,32793,33817,32793,8,8.1,8,5913,0,3,0,0,0,
2022_4_8_19:42:12:920,-1.8284,395.812,0.00260323,0.0194891,0.00276138,14.6807,14.6807,14.8,1832.9,99.087,10.3834,10.8811,10.8811,-1.8284,-1.8284,7.34803,7.302,154.439,0,1,0,0,8,0,255,255,672.6,99.2913,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.93,97.23,58.97,53.47,46.12,0,0,418.6,417.1,414.1,1654.4,1687,1703,50.099,2094.1,43.4,0.399,7.303,7.304,7.299,7.403,7.279,7.263,6.82,9.59,8.64,308.5,328.9,306.2,18498,32793,33817,32793,8.2,8,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:13:920,-2.02865,395.812,0.00270089,0.0220634,0.000807702,14.5635,14.5635,14.6812,1825.66,99.056,10.3684,10.2278,10.2278,-2.02865,-2.02865,7.33388,7.42633,154.439,0,1,0,0,8,0,255,255,672.6,99.2197,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.27,36.6,98.27,97.98,97.27,58.97,53.49,46.15,0,0,419.6,416.8,413.1,1649.3,1675.5,1689.8,50.02,2093.3,68.2,0.5987,7.426,7.429,7.424,7.54,7.409,7.404,10.94,13.25,9.08,308.5,328.9,306.2,18498,32793,33817,32793,8.4,8.5,8.4,5913,0,3,0,0,0,
2022_4_8_19:42:14:920,-1.30967,395.812,0.0031663,0.022985,0.00106118,14.5898,14.5898,14.6065,1814.07,99.01,10.6321,11.3839,11.3839,-1.30967,-1.30967,6.83125,6.786,154.454,0,1,0,0,8,0,255,255,775,99.0261,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.92,97.26,58.96,53.47,46.1,0,0,419.4,417,413.8,1636.5,1665.4,1680.9,50.037,2069.5,50.4,0.3992,6.786,6.789,6.783,6.873,6.778,6.779,14.84,9.23,7.78,308.5,328.9,306.2,18498,32793,33817,32793,8,8,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:15:920,-0.270138,395.812,0.00437635,0.0216224,0.0013184,14.5049,14.5049,14.5183,1813.47,99.058,10.7158,10.3961,10.3961,-0.270138,-0.270138,6.3596,6.37267,154.408,0,1,0,0,8,0,255,255,979.8,99.2,8,139,3075,468.8,14,4087,1,2058,1012,7,4080,3967,1141.2,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,98,97.24,58.99,53.49,46.09,0,0,419.3,417,413.7,1635.3,1663.7,1678.3,49.979,2066.7,61.2,0.5987,6.368,6.374,6.376,6.472,6.382,6.379,13.94,9.85,15.31,308.5,328.9,306.15,18498,32793,33817,32793,8.1,8.1,8.1,5913,0,3,0,0,0,
2022_4_8_19:42:16:920,-0.927367,395.812,0.00440993,0.0185049,0.00318594,14.5986,14.5986,14.6989,1817.82,98.69,10.3001,9.22498,9.22498,-0.927367,-0.927367,7.15912,7.06733,154.485,0,1,0,0,8,0,255,255,877.4,98.56,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.31,36.6,98.31,97.94,97.26,58.96,53.49,46.16,0,0,419.3,417.2,413.9,1634.8,1664.7,1679.5,50.059,2069.1,60.1,0.7979,7.069,7.072,7.061,7.156,7.054,7.024,4.84,6.48,7.28,308.49,328.87,306.1,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:42:17:920,-1.38432,395.812,0.00530107,0.0168554,0.00488923,14.4463,14.4463,14.6071,1812.15,98.64,10.04,9.61943,9.61943,-1.38432,-1.38432,7.20124,7.337,154.439,0,1,0,0,8,0,255,255,877.4,98.8847,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,32.99,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.33,36.6,98.33,97.93,97.28,58.96,53.52,46.12,0,0,418.9,417,413.8,1623.7,1654.1,1668.5,50.022,2067.1,51.5,0.7979,7.338,7.336,7.337,7.46,7.32,7.323,13.32,15.89,11.6,308.5,328.9,306.12,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:18:920,-2.87567,395.812,0.00672323,0.0165914,0.00542023,14.5078,14.5078,14.5156,1808.19,99.512,9.54892,8.46492,8.46492,-2.87567,-2.87567,6.45145,6.34933,154.431,0,1,0,0,8,0,255,255,570.2,99.4784,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,32.97,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.69,61.5,98.29,36.6,98.29,97.98,97.25,58.97,53.51,46.09,0,0,419.8,416.8,413.3,1638.9,1665.7,1680.8,50.057,2061.3,71.8,0.5985,6.355,6.345,6.348,6.435,6.335,6.355,14.45,8.7,6.21,308.49,328.9,306.11,18498,32793,33817,32793,8.1,8,8,5913,0,3,0,0,0,
2022_4_8_19:42:19:920,-3.9454,395.812,0.00678884,0.0203955,0.00368799,14.4785,14.4785,14.4889,1812.6,99.568,8.82393,6.81798,6.81798,-3.9454,-3.9454,6.27964,6.36067,154.462,0,1,0,0,8,0,255,255,775,99.4669,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,32.98,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.94,97.32,58.99,53.49,46.1,0,0,418.7,417.1,414,1639.9,1672.6,1687.1,50.016,2072.5,49.3,-0.00019998,6.356,6.361,6.365,6.452,6.367,6.364,16.87,10.64,17.02,308.5,328.9,306.14,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:42:20:920,-4.413,395.812,0.00754875,0.0238426,0.00413053,14.6221,14.6221,14.6832,1820.81,99.044,8.57055,9.691,9.691,-4.413,-4.413,7.07221,6.899,154.5,0,1,0,0,8,0,255,255,775,99.034,8,139,3075,468.8,14,4087,1,2058,1012,7,4080,3967,1141.2,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.93,97.28,59,53.51,46.14,0,0,419.1,417,413.9,1643,1672,1687.3,50.011,2079.1,28.9,0.5986,6.9,6.904,6.893,6.999,6.886,6.865,3.09,4.11,6.26,308.5,328.9,306.14,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:21:920,-6.21471,395.812,0.00796381,0.0238136,0.00446242,14.4902,14.4902,14.6702,1818.21,98.896,8.98801,9.59746,9.59746,-6.21471,-6.21471,7.50055,7.66233,154.408,0,1,0,0,8,0,255,255,979.8,99.0728,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.28,36.6,98.28,97.94,97.3,59,53.5,46.12,0,0,419.3,416.9,413.8,1634.9,1664,1678.3,49.996,2078.9,38.1,-0.1997,7.66,7.667,7.66,7.776,7.65,7.627,13.6,17.76,12.03,308.49,328.95,306.19,18498,32793,33817,32793,8.2,8.3,8.3,5913,0,3,0,0,0,
2022_4_8_19:42:22:920,-6.42095,395.812,0.00650655,0.0232185,0.00266859,14.5078,14.5078,14.5195,1808.33,99.124,9.10388,8.47758,8.47758,-6.42095,-6.42095,6.60074,6.47967,154.447,0,1,0,0,8,0,255,255,877.4,99.0675,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.28,36.6,98.28,97.97,97.28,59,53.48,46.09,0,0,419.3,416.8,413.5,1630.5,1660,1675.3,50.014,2057.9,77.1,0.5982,6.484,6.478,6.477,6.576,6.467,6.485,13.04,9.05,6.53,308.49,328.93,306.16,18498,32793,33817,32793,8,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:23:920,-6.39137,395.812,0.00613422,0.02022,0.00196884,14.4697,14.4697,14.4872,1806.43,99.371,9.06456,10.4155,10.4155,-6.39137,-6.39137,6.44413,6.63767,154.439,0,1,0,0,8,0,255,255,775,99.1988,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.92,97.28,59,53.49,46.1,0,0,418.5,417,413.7,1630.4,1662.5,1676.8,49.927,2060.1,95.1,0.9975,6.638,6.63,6.645,6.731,6.649,6.629,18.91,12.15,15.36,308.44,328.9,306.12,18498,32793,33817,32793,8.2,8,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:24:920,-4.15037,395.812,0.00550401,0.0196631,0.00207437,14.5605,14.5605,14.5986,1811.06,98.768,10.0566,11.9691,11.9691,-4.15037,-4.15037,6.63981,6.378,154.462,0,1,0,0,8,0,255,255,570.2,98.76,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,32.99,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,97.94,97.28,59,53.54,46.12,0,0,418.6,416.8,413.4,1632.5,1661.6,1675.9,50.051,2061.5,51.1,-0.1995,6.375,6.384,6.375,6.461,6.364,6.36,3.85,4.01,7.72,308.5,328.9,306.13,18498,32793,33817,32793,8.2,8.1,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:25:920,-1.69472,395.812,0.00418104,0.0225318,0.00141116,14.4229,14.4229,14.6391,1813.07,98.634,10.9648,12.7392,12.7392,-1.69472,-1.69472,7.29398,7.50033,154.454,0,1,0,0,8,0,255,255,979.8,98.6716,8,139,3075,468.8,14,4087,1,2058,1012,7,4080,3967,1141.2,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,98.02,97.3,59,53.53,46.07,0,0,418.9,416.6,413.5,1626,1656.3,1670.1,49.986,2064.7,70.7,0.9979,7.502,7.498,7.501,7.615,7.488,7.467,13.3,18.14,12.71,308.46,328.93,306.2,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:42:26:920,0.687316,395.812,0.00444044,0.0228431,0.00153839,14.4727,14.4727,14.4826,1808.22,98.918,11.6232,12.5741,12.5741,0.687316,0.687316,6.28741,6.17,154.462,0,1,0,0,8,0,255,255,877.4,98.96,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.32,36.6,98.32,97.97,97.28,59,53.5,46.06,0,0,419.7,416.3,412.8,1631.2,1655.3,1669.1,50.051,2053.8,47.2,0.3992,6.173,6.17,6.167,6.259,6.161,6.187,12.14,11.45,6.97,308.49,328.9,306.15,18498,32793,33817,32793,8.1,8.1,8.1,5913,0,3,0,0,0,
2022_4_8_19:42:27:920,2.68449,395.812,0.00419324,0.0226112,0.00138573,14.5107,14.5107,14.5312,1817.72,99.437,12.0599,12.8954,12.8954,2.68449,2.68449,6.48829,6.62833,154.469,0,1,0,0,8,0,255,255,979.8,99.4584,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,27.97,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,98,97.27,59,53.5,46.14,0,0,420,416.4,413.1,1649.3,1674.2,1688.5,50.074,2073.3,70.9,0.5983,6.624,6.628,6.633,6.718,6.628,6.627,17.42,10.21,13.93,308.43,328.91,306.14,18498,32793,33817,32793,8,8.2,8,5913,0,3,0,0,0,
2022_4_8_19:42:28:920,4.16208,395.812,0.0036195,0.0207511,0.00128511,14.7129,14.7129,14.7118,1834.27,99.329,12.2599,11.9486,11.9486,4.16208,4.16208,7.11013,6.8,154.416,0,1,0,0,8,0,255,255,672.6,99.2318,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,32.96,3276.7,37,37,27.95,1.06165e-15,76.2,62.2,68.7,61.5,98.31,36.6,98.31,97.96,97.3,59,53.51,46.08,0,0,418.4,416.8,414.1,1660.8,1693.5,1708.3,49.979,2093.5,60.9,0.798,6.798,6.805,6.797,6.89,6.791,6.754,3.9,3.25,8.11,308.4,328.9,306.12,18498,32793,33817,32793,8.1,8,8.1,5913,0,3,0,0,0,
2022_4_8_19:42:29:920,4.05966,395.812,0.00334178,0.0168508,0.00432245,14.6426,14.6426,14.8918,1847,98.88,12.053,11.9066,11.9066,4.05966,4.05966,8.85502,8.95267,154.447,0,1,0,0,8,0,255,255,672.6,98.9649,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,32.99,3276.7,37,37,27.99,1.06165e-15,76.2,62.2,68.7,61.5,98.3,36.6,98.3,98.1,97.34,59,53.56,46,0,0,419.6,416.4,413.4,1668,1694.7,1710,50.081,2110.8,69,0.7979,8.95,8.955,8.953,9.083,8.952,8.907,7.96,14.76,9.04,308.4,328.9,306.16,18498,32793,33817,32793,8.5,8.5,8.5,5913,0,3,0,0,0,
2022_4_8_19:42:30:920,3.1167,395.812,0.00347911,0.0168828,0.00423866,14.748,14.748,14.75,1842.73,98.607,11.7348,10.4292,10.4292,3.1167,3.1167,8.46674,8.392,154.462,0,1,0,0,8,0,255,255,672.6,98.6437,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,27.99,1.06165e-15,76.21,62.2,68.7,61.5,98.32,36.6,98.32,97.91,97.3,58.99,53.5,46.14,0,0,418.6,416.8,413.9,1652.9,1685.7,1699.8,49.935,2094.8,83.8,0.7978,8.396,8.386,8.394,8.521,8.371,8.362,14.05,10.47,8.64,308.4,328.95,306.13,18498,32793,33817,32793,8.3,8,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:31:920,1.29931,395.812,0.00360118,0.0169118,0.00373865,14.8037,14.8037,14.8226,1851.43,99.282,11.3098,10.9984,10.9984,1.29931,1.29931,9.21968,9.28133,154.524,0,1,0,0,8,0,255,255,979.8,99.2706,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.21,62.2,68.7,61.5,98.3,36.6,98.3,97.96,97.35,59,53.57,46.11,0,0,419.9,416.7,413,1677.4,1703.9,1718.6,50.028,2107.5,71.9,0.9975,9.276,9.284,9.284,9.393,9.302,9.226,11.9,6.42,7.46,308.4,328.9,306.12,18498,32793,33817,32793,8.3,8.2,8,5913,0,3,0,0,0,
2022_4_8_19:42:32:920,-0.038098,395.812,0.0040376,0.0187399,0.00175212,14.918,14.918,14.9184,1853.44,99.45,11.2848,11.3512,11.3512,-0.038098,-0.038098,9.92306,9.69033,154.477,0,1,0,0,8,0,255,255,877.4,99.2808,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.21,62.2,68.7,61.5,98.31,36.6,98.31,98.01,97.28,59.01,53.44,46.23,0,0,419.7,416.5,413.3,1682.9,1708,1721.6,50.103,2121,82.5,0.1992,9.69,9.691,9.69,9.829,9.692,9.634,6.44,3.74,7.92,308.46,328.97,306.17,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:33:920,-1.29852,395.812,0.0054323,0.0222327,0.00247269,14.7598,14.7598,15.0399,1850.33,98.96,11.0708,10.6661,10.6661,-1.29852,-1.29852,11.509,11.6067,154.469,0,1,0,0,8,0,255,255,979.8,99.0052,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.21,62.2,68.7,61.5,98.31,36.6,98.31,98.03,97.33,59,53.58,46,0,0,419,416.9,413.9,1668.7,1698.7,1711.7,50.024,2120.4,77.9,0.1993,11.607,11.607,11.606,11.716,11.579,11.569,9.59,12.6,9.57,308.41,328.94,306.17,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:34:920,-3.17251,395.812,0.00511185,0.0236854,0.0032415,14.6572,14.6572,14.682,1825.11,98.352,11.5218,13.459,13.459,-3.17251,-3.17251,10.4433,10.4847,154.454,0,1,0,0,8,0,255,255,672.6,98.4123,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.21,62.2,68.7,61.5,98.33,36.6,98.33,98.02,97.33,59.01,53.52,46.15,0,0,419.1,416.5,413.6,1631.4,1660.3,1673.6,50.035,2075.4,70.4,0.7979,10.484,10.488,10.482,10.595,10.479,10.46,14.95,11.89,12.88,308.4,328.95,306.13,18498,32793,33817,32793,8.3,8.3,8.3,5913,0,3,0,0,0,
2022_4_8_19:42:35:920,-4.73297,395.812,0.00515763,0.0239341,0.00314393,14.6016,14.6016,14.62,1817.42,99.027,12.2393,12.7177,12.7177,-4.73297,-4.73297,10.1916,10.258,154.469,0,1,0,0,8,0,255,255,672.6,99.0993,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28,1.06165e-15,76.22,62.2,68.7,61.5,98.34,36.6,98.34,97.97,97.35,59.02,53.52,46.15,0,0,418.9,416.6,413.6,1640.1,1669.1,1682.5,49.986,2067.5,61.4,0.5987,10.257,10.257,10.26,10.368,10.258,10.212,12.32,8.75,9.07,308.4,328.92,306.1,18498,32793,33817,32793,8.2,8.2,8.2,5913,0,3,0,0,0,
2022_4_8_19:42:36:920,-5.80191,395.812,0.00439314,0.0236274,0.00258704,14.6104,14.6104,14.6134,1819.72,99.469,12.3735,12.9186,12.9186,-5.80191,-5.80191,9.92942,9.75567,154.416,0,1,0,0,8,0,255,255,775,99.4164,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,32.99,3276.7,37,37,28,1.06165e-15,76.2,62.2,68.7,61.5,98.33,36.6,98.33,98.02,97.28,59.02,53.52,46.18,0,0,419.2,416.7,413.4,1651.2,1679,1691.9,50.087,2080.3,68.6,0.7982,9.755,9.76,9.752,9.886,9.765,9.7,7.62,4.81,9.26,308.42,328.98,306.17,18498,32793,33817,32793,8.4,8.3,8.5,5913,0,3,0,0,0,
2022_4_8_19:42:37:920,-6.16532,395.812,0.00278024,0.0242958,0.00315698,14.5723,14.5723,14.7762,1828.51,99.17,12.6604,12.9517,12.9517,-6.16532,-6.16532,11.1037,11.1437,154.492,0,1,0,0,8,0,255,255,979.8,99.1801,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28.06,1.06165e-15,76.2,62.2,68.7,61.5,98.35,36.6,98.35,98.02,97.32,59.02,53.5,46.16,0,0,419.3,416.7,413.6,1654.8,1682.3,1696.1,49.963,2091.3,58.1,0.5986,11.143,11.146,11.142,11.255,11.112,11.095,8.57,11.02,8.45,308.4,328.93,306.13,18498,32793,33817,32793,8.7,8.4,8.3,5913,0,3,0,0,0,
2022_4_8_19:42:38:920,-6.33168,395.812,0.00335246,0.0261895,0.00456507,14.5049,14.5049,14.5476,1813.19,98.566,12.5565,11.9127,11.9127,-6.33168,-6.33168,10.2337,10.329,154.454,0,1,0,0,8,0,255,255,877.4,98.5001,8,139,3075,571.2,14,4087,1,2058,1012,7,4080,3967,1166.8,204,2316,288,33.7,33,3276.7,37,37,28.1,1.06165e-15,76.22,62.2,68.7,61.5,98.38,36.6,98.38,97.93,97.31,59.02,53.55,46.13,0,0,418.8,416.8,414,1623.9,1655.5,1668.2,49.939,2068.1,71.2,0.3988,10.332,10.328,10.327,10.46,10.324,10.319,16,15.16,13.93,308.4,328.95,306.12,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
2022_4_8_19:42:39:920,-7.24993,395.812,0.00323038,0.0259667,0.00407751,14.543,14.543,14.5613,1811.11,98.864,12.1515,11.2873,11.2873,-7.24993,-7.24993,10.1266,10.1053,154.462,0,1,0,0,8,0,255,255,877.4,98.9726,8,139,3075,520,14,4087,1,2058,1012,7,4080,3967,1154,204,2316,288,33.7,33,3276.7,37,37,28.1,1.06165e-15,76.24,62.2,68.7,61.5,98.31,36.6,98.31,98.08,97.32,59,53.52,46.14,0,0,419.4,416.2,413.5,1634.6,1660.1,1672.7,50.073,2057.7,61.1,0.7979,10.105,10.105,10.106,10.218,10.106,10.056,11.37,6.63,6.9,308.39,328.93,306.1,18498,32793,33817,32793,8,8,8,5913,0,3,0,0,0,
